ProductID,TotalVIC,TradeVIC,DirectVIC,NewVIC,RetentionVIC
CWPO2STF8520001,1200,750,450,1,1
CWPO2STF8520002,850,500,350,1,0
CWPO2STF8520003,620,380,240,0,1
CWPO2STF8520004,1050,680,370,1,1
CWPO2STF8520005,430,260,170,0,0
CWPO2STF8520006,980,600,380,1,1
CWPO2STF8520007,760,450,310,1,0
CWPO2STF8520008,520,300,220,0,1
CWPO2STF8520009,890,540,350,1,1
CWPO2STF8520010,670,410,260,0,0
CWPO2STF8520011,1500,900,600,1,1
CWPO2STF8520012,1100,650,450,1,0
CWPO2STF8520013,1350,800,550,1,1
CWPO2STF8520014,480,280,200,0,1
CWPO2STF8520015,920,560,360,1,1
CWPO2STF8520016,1150,700,450,1,0
CWPO2STF8520017,780,470,310,0,1
CWPO2STF8520018,650,390,260,1,1
CWPO2STF8520019,880,530,350,1,0
CWPO2STF8520020,560,340,220,0,1
CWPO2STF8520021,390,230,160,0,0
CWPO2STF8520022,1400,850,550,1,1
CWPO2STF8520023,720,430,290,1,0
CWPO2STF8520024,310,180,130,0,1
CWPO2STF8520025,840,510,330,1,1
CWPO2STF8520026,690,420,270,0,0
CWPO2STF8520027,450,270,180,1,1
CWPO2STF8520028,1080,660,420,1,1
CWPO2STF8520029,750,460,290,0,0
CWPO2STF8520030,960,580,380,1,1
CWPO2STF8520031,2850,1820,1030,1,1
CWPO2STF8520032,680,390,290,0,1
CWPO2STF8520033,3200,2100,1100,1,1
CWPO2STF8520034,1580,1020,560,1,0
CWPO2STF8520035,740,430,310,0,1
CWPO2STF8520036,1920,1250,670,1,1
CWPO2STF8520037,1060,700,360,1,0
CWPO2STF8520038,510,300,210,0,1
CWPO2STF8520039,2680,1750,930,1,1
CWPO2STF8520040,1340,860,480,1,1
CWPO2STF8520041,420,250,170,0,0
CWPO2STF8520042,590,350,240,1,0
CWPO2STF8520043,1720,1100,620,1,1
CWPO2STF8520044,1460,950,510,1,0
CWPO2STF8520045,380,220,160,0,1
CWPO2STF8520046,830,530,300,1,1
CWPO2STF8520047,1150,740,410,0,1
CWPO2STF8520048,290,170,120,0,0
CWPO2STF8520049,2100,1380,720,1,1
CWPO2STF8520050,350,200,150,0,1
CWPO2STF8520051,470,280,190,0,0
CWPO2STF8520052,1680,1080,600,1,1
CWPO2STF8520053,880,560,320,0,1
CWPO2STF8520054,3500,2300,1200,1,1
CWPO2STF8520055,1250,810,440,1,0
CWPO2STF8520056,260,150,110,0,0
CWPO2STF8520057,950,610,340,1,1
CWPO2STF8520058,320,190,130,0,1
CWPO2STF8520059,1800,1170,630,1,1
CWPO2STF8520060,1100,710,390,0,1
