"dt","brand","framework","ads_format","impression","click","cost","order_cnt","pay_amount","new_customer_cnt","new_customer_cost","new_customer_pay_amount","cost_ly","pay_amount_ly","new_customer_cnt_ly","new_customer_cost_ly","new_customer_pay_amount_ly","cost_target","pay_amount_target","new_customer_cnt_target","new_customer_cost_target"
"2026-01-01","M Polo","Acceleration","ZTC","8067","287","502.55","15","1755.83","3","223.58","486.26","453.35","1872.48","3","199","463.04","501.56","1714.03","3","224.36"
"2026-01-01","M Polo","Acceleration","YLMF","5287","331","878.6","15","1702.24","3","387.49","548.85","889.14","1388.09","3","330.03","610.59","925.95","1707.83","3","351.96"
"2026-01-01","M Polo","Acceleration","QZT","4343","232","728.97","5","989.29","2","327.8","254.93","652.24","800.55","2","351.92","255.08","705.12","939.82","2","314.01"
"2026-01-01","M Polo","Foundation","ZTC","6684","239","379.77","13","2515.51","2","145.86","769.71","394.41","2204.73","2","135.33","659.62","364.69","2625.27","2","144.81"
"2026-01-01","M Polo","Foundation","YLMF","4370","271","644.54","14","2658.76","2","300.21","536.9","548.45","2186.35","2","243.8","598.86","702.13","2638.12","2","307.21"
"2026-01-01","M Polo","Foundation","QZT","3315","149","265.78","7","1780.12","2","101.03","435.43","298.25","1789.66","2","81.51","480.14","290.67","1720.6","2","94.21"
"2026-01-01","M Polo","T-shirt","ZTC","3383","163","353.14","11","1239.49","2","121.17","357.9","354.5","1419.78","2","125.44","370.78","350.82","1252.4","2","124.83"
"2026-01-01","M Polo","T-shirt","YLMF","2634","115","386.18","2","256.69","1","118.83","59.66","396.88","243.28","1","136.38","47.64","373.02","247.52","1","124.8"
"2026-01-01","M Polo","T-shirt","QZT","2529","77","121.98","5","1385.48","1","59.19","452.77","113.91","1372.83","1","60.31","374.41","121.32","1297.65","1","56"
"2026-01-01","M Polo","Complemen","ZTC","2893","201","615.72","6","1646.08","1","221.01","467.48","626.1","1727.34","1","223.08","423.81","666.29","1627.94","1","241.51"
"2026-01-01","M Polo","Complemen","YLMF","2026","105","356.53","7","757.62","1","107.16","172.19","403.62","797.04","1","107.89","156.69","345.39","819.85","1","115.53"
"2026-01-01","M Polo","Complemen","QZT","1385","60","155.06","3","862.01","1","69.69","208.67","147.6","848.18","1","61.78","230.62","162.76","808.49","1","65.91"
"2026-01-01","W Polo","Acceleration","ZTC","6336","352","585.61","16","4114.09","6","266.9","1411.15","663.45","3963.16","7","304.06","1146.52","607.94","3876.49","6","266.95"
"2026-01-01","W Polo","Acceleration","YLMF","4896","169","525.93","7","1362.67","2","178.86","380.83","571.47","1367.59","2","201.6","293.59","504.03","1284.85","2","167.11"
"2026-01-01","W Polo","Acceleration","QZT","3240","132","430.86","6","965.09","2","195.04","288.93","495.4","892.23","2","177.28","237.91","469.94","983.05","2","190.64"
"2026-01-01","W Polo","Foundation","ZTC","5457","181","442.05","13","1933.47","5","210.54","645.01","377.93","1748.68","5","169.8","713.59","447.19","2001.65","5","230.95"
"2026-01-01","W Polo","Foundation","YLMF","3605","244","733.08","5","774.88","2","226.17","234.63","737.89","718.88","2","198.23","232.77","767.21","791.23","2","233.64"
"2026-01-01","W Polo","Foundation","QZT","2534","90","286.66","3","886.09","1","86.04","254.22","273.85","757.08","1","88.22","201.7","312.95","829.42","1","80.86"
"2026-01-02","M Polo","Acceleration","ZTC","8007","449","1446.34","19","4092.04","5","557.86","938.31","1572.4","4067.63","5","577.53","858.13","1516.06","4480.57","5","527.24"
"2026-01-02","M Polo","Acceleration","YLMF","5796","299","934.66","18","2696.38","5","420.89","721.9","1072","2630.68","5","342.8","660.78","946.83","2514.99","5","413"
"2026-01-02","M Polo","Acceleration","QZT","3919","267","646.83","10","1865.33","3","247.61","399.8","586.37","2012.55","3","276.71","450.12","663.07","1756.55","3","266.57"
"2026-01-02","M Polo","Foundation","ZTC","6656","370","1178.69","19","2876.83","3","379.32","965.77","1223.07","3227.28","3","323.9","870.04","1143.49","2804.27","3","341.77"
"2026-01-02","M Polo","Foundation","YLMF","5355","165","325.19","12","3143.61","4","123.5","910.83","288.98","3386.67","3","122.33","701.41","308.98","3238.55","4","124.25"
"2026-01-02","M Polo","Foundation","QZT","4170","212","623.24","16","3663.78","6","230.88","954.92","690.31","3950.66","7","260.79","1026.05","654.03","3362.79","6","250.95"
"2026-01-02","M Polo","T-shirt","ZTC","4241","159","464.86","12","3088.66","4","180.72","1037.85","422.43","2763.75","4","167.37","1017.23","505.66","3346.93","4","193.25"
"2026-01-02","M Polo","T-shirt","YLMF","2931","188","428.47","5","1473.23","1","204.22","407.87","488.68","1194.38","1","210.32","357.73","415.38","1384.6","1","188.52"
"2026-01-02","M Polo","T-shirt","QZT","2064","100","226.46","5","1478.45","2","80.44","516.23","225.2","1503.04","2","65.59","445.69","244.92","1604.66","2","87.91"
"2026-01-02","M Polo","Complemen","ZTC","2418","96","222.37","7","1903.23","1","103.56","510.24","244.91","2044.43","1","91.91","561.89","215.96","1949.44","1","102.73"
"2026-01-02","M Polo","Complemen","YLMF","2211","106","302.64","4","643.05","1","97.66","139.16","302.11","629.89","1","94.14","142.5","294.5","659.41","1","94.79"
"2026-01-02","M Polo","Complemen","QZT","1681","115","250.34","4","567.22","1","102.82","122.81","223.49","637.69","1","109.04","121.75","255.76","613.76","1","109.48"
"2026-01-02","W Polo","Acceleration","ZTC","5089","249","475.15","15","4328.66","3","170.55","1334.11","457.77","4283.85","3","195.26","1082.18","496.26","4123.14","3","171.4"
"2026-01-02","W Polo","Acceleration","YLMF","4369","247","506.5","8","1492.45","1","164.5","337.13","464.65","1305.7","1","152.62","372.97","483.85","1474.94","1","176.39"
"2026-01-02","W Polo","Acceleration","QZT","2982","108","285.32","7","1894.22","3","88.1","538.97","319.81","2090.6","2","74.32","617.57","283.76","1751.63","3","80.67"
